"user_id","total_purchases","lifetime_value","first_tip_amount","second_tip_amount","expansion_revenue"
"@DarkraiGamingZ",1,20.00,20.00,0.00,0.00
"@venkateshhv5834",1,20.00,20.00,0.00,0.00
"@akarshitsudan7639",1,20.00,20.00,0.00,0.00
"@GodLメNIKKU",1,20.00,20.00,0.00,0.00
"@gamexneonyt3030",1,20.00,20.00,0.00,0.00
"@heart.nest.stories",1,20.00,20.00,0.00,0.00
"@princegoswami05",1,20.00,20.00,0.00,0.00
"@SURAJ-S9k2",1,20.00,20.00,0.00,0.00
"@SauravKumar-kl6go",1,20.00,20.00,0.00,0.00
"@dreamer-u7f",1,20.00,20.00,0.00,0.00
"@gunapishingy6259",1,20.00,20.00,0.00,0.00
"@NguruhWilfred",1,20.00,20.00,0.00,0.00
"@koushik_joga0931",1,20.00,20.00,0.00,0.00
"@nerdnexuss2108",1,20.00,20.00,0.00,0.00
"@waqar0103",1,17.99,17.99,0.00,0.00
"@aafaqtisekar8513",1,17.99,17.99,0.00,0.00
"@mannpatel7425",1,13.99,13.99,0.00,0.00
"@tirthpatel77",1,13.99,13.99,0.00,0.00
"@RajPatel..2001",1,11.11,11.11,0.00,0.00
"@JATTHUNI01",2,9.78,6.99,2.79,2.79
"@mirzabaig00",1,7.99,7.99,0.00,0.00
"@ajsingh5",1,6.99,6.99,0.00,0.00
"@Buriburi1947",1,6.99,6.99,0.00,0.00
"@NoToRIoUS_OP_",1,6.99,6.99,0.00,0.00
"@ManharSingh-v6o",1,6.99,6.99,0.00,0.00
"@vishalbeniwal3806",1,6.99,6.99,0.00,0.00
"@darkop5379",1,5.00,5.00,0.00,0.00
"@sniperking5825",1,3.69,3.69,0.00,0.00
"@lohat0929",1,3.49,3.49,0.00,0.00
"@neerajrajput2931",1,3.49,3.49,0.00,0.00
"@HLess_Plays",1,2.79,2.79,0.00,0.00
"@kaiop007",1,2.79,2.79,0.00,0.00
"@GaganvirSingh-sy5fh",1,2.79,2.79,0.00,0.00
"@jatinsehgal3487",1,2.79,2.79,0.00,0.00
"@milanbaloria0441",1,2.79,2.79,0.00,0.00
"@PrathameshMohole",1,2.79,2.79,0.00,0.00
"@sniperkiller5102",1,2.79,2.79,0.00,0.00
"@GrootGaming1911",1,2.79,2.79,0.00,0.00
"@RamanpreetsinghJhutty-k1v",1,2.79,2.79,0.00,0.00
"@ToonyMix_TV",1,2.00,2.00,0.00,0.00
"@manmeetxgill",1,2.00,2.00,0.00,0.00
"@AniketSinghMann",1,2.00,2.00,0.00,0.00
"@dhruvpatel2757",1,2.00,2.00,0.00,0.00
"@manngarg213",1,2.00,2.00,0.00,0.00
